               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              3.6445,              5.1835,              4.9566,            0.093215,              0.2223,             0.09978,            0.030754,                   0,                   0,                   0,            0.070006,           0.0033327,           0.0033327
                   1,               1.577,              3.1618,              2.5647,              0.3339,              0.7713,             0.54646,              0.5371,                   0,                   0,                   0,            0.039346,           0.0060061,           0.0060061
                   2,             0.47018,              2.0956,              1.3637,             0.50498,             0.88782,             0.70161,             0.69885,                   0,                   0,                   0,           0.0080259,           0.0080195,           0.0080195
                   3,              0.3128,              1.7876,              1.2209,             0.78787,             0.89445,              0.9001,             0.89762,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   4,             0.25406,              1.5548,              1.1794,             0.96175,             0.94259,             0.98564,             0.98306,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   5,             0.20686,              1.3688,              1.1519,             0.97837,             0.97038,             0.99015,             0.98879,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                   6,             0.17689,              1.2257,              1.1344,             0.99152,              0.9852,             0.99445,             0.99415,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                   7,             0.15563,              1.1287,              1.1225,             0.99434,             0.98975,             0.99491,              0.9949,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                   8,             0.13789,               1.063,              1.1141,             0.99265,             0.99377,             0.99485,             0.99483,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                   9,             0.12588,             0.98316,               1.107,              0.9972,             0.99754,             0.99496,             0.99496,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
